year,actor1_country_code,actor2_country_code,event_count,num_mentions
2000-01-01,KEN,SDN,4,16
2000-01-01,USA,UGA,3,7
2000-01-01,LBY,ZAF,1,2
2000-01-01,PAN,BMU,1,4
2000-01-01,CHE,BGR,1,4
2000-01-01,CHE,USA,1,2
2000-01-01,TUR,LBN,8,16
2000-01-01,FRA,ITA,1,4
2000-01-01,FRA,RUS,1,7
2000-01-01,YEM,SOM,1,5
2000-01-01,GBR,KEN,2,5
2000-01-01,EUR,MOZ,1,8
2000-01-01,GBR,PRT,1,1
2000-01-01,IRN,EGY,2,4
2000-01-01,ESP,GIN,2,9
2000-01-01,PAN,PER,2,4
2000-01-01,IDN,BGD,1,8
2000-01-01,PNG,IDN,1,1
2000-01-01,USA,FRA,2,9
2000-01-01,NGA,NER,2,11
2000-01-01,USA,SOM,3,5
2000-01-01,ETH,ERI,4,20
2000-01-01,AFR,ZWE,3,6
2000-01-01,EUR,IDN,1,8
2000-01-01,USA,TUR,3,9
2000-01-01,ETH,SOM,1,7
2000-01-01,GRC,TUR,2,6
2000-01-01,POL,HUN,1,7
2000-01-01,JPN,RUS,7,21
2000-01-01,AFR,MOZ,14,51
2000-01-01,AFG,PAK,3,10
2000-01-01,PRK,RUS,1,4
2000-01-01,PHL,LBY,2,7
2000-01-01,USA,TJK,1,2
2000-01-01,GRC,SAU,1,5
2000-01-01,PRT,MOZ,2,12
2000-01-01,ISR,TUR,4,13
2000-01-01,IRQ,VNM,2,4
2000-01-01,ISR,LBN,12,68
2000-01-01,JPN,PRK,17,94
2000-01-01,YEM,KWT,1,18
2000-01-01,EUR,THA,1,4
2000-01-01,KGZ,USA,1,4
2000-01-01,SDN,ERI,8,45
2000-01-01,TUR,GRC,4,16
2000-01-01,JPN,TJK,2,11
2000-01-01,USA,AFG,2,4
2000-01-01,ESP,IRQ,1,5
2000-01-01,AFG,AUS,2,9
2000-01-01,NOR,SRB,1,1
2000-01-01,DEU,AFG,2,12
2000-01-01,TUR,CYP,7,25
2000-01-01,ISR,ETH,4,20
2000-01-01,LBR,CHN,1,5
2000-01-01,MYS,FRA,2,9
2000-01-01,AFR,ERI,1,18
2000-01-01,THA,KHM,1,6
2000-01-01,AFG,LBY,3,7
2000-01-01,SEA,FRA,1,3
2000-01-01,DJI,SOM,2,9
2000-01-01,USA,COL,2,3
2000-01-01,SGP,GBR,2,9
2000-01-01,CHN,PRK,4,15
2000-01-01,RUS,HUN,1,7
2000-01-01,VNM,GBR,1,1
2000-01-01,PHL,FRA,8,30
2000-01-01,HTI,USA,6,28
2000-01-01,USA,KEN,6,23
2000-01-01,MOZ,MWI,3,4
2000-01-01,BEL,SOM,1,3
2000-01-01,LBY,AFR,1,7
2000-01-01,ITA,PRK,2,3
2000-01-01,DNK,GBR,4,9
2000-01-01,ISR,KWT,1,8
2000-01-01,YEM,ERI,10,50
2000-01-01,USA,ECU,1,6
2000-01-01,DEU,GBR,6,42
2000-01-01,AFR,GBR,5,17
2000-01-01,USA,JPN,2,9
2000-01-01,NZL,IDN,1,9
2000-01-01,USA,ETH,2,7
2000-01-01,USA,CHE,3,7
2000-01-01,ZAF,NAM,1,2
2000-01-01,ARG,BOL,1,2
2000-01-01,RUS,NOR,25,117
2000-01-01,ARE,ETH,1,18
2000-01-01,IRQ,PSE,3,17
2000-01-01,JPN,MOZ,5,15
2000-01-01,RUS,ERI,2,9
2000-01-01,TUR,PSE,1,9
2000-01-01,HUN,TUR,1,9
2000-01-01,IRL,ESP,1,3
2000-01-01,NGA,TUN,2,6
2000-01-01,SEA,USA,2,25
2000-01-01,GRC,BMU,1,2
2000-01-01,AZE,GEO,1,4
2000-01-01,ITA,ALB,1,4
2000-01-01,DZA,COG,2,6
2000-01-01,USA,ITA,3,14
2000-01-01,JPN,CHN,2,7
2000-01-01,HTI,CUB,1,1
2000-01-01,CHN,ETH,1,1
2000-01-01,USA,HTI,5,31
2000-01-01,NZL,AUS,2,18
2000-01-01,ISR,AGO,1,3
2000-01-01,EUR,ETH,4,37
2000-01-01,SWE,RUS,4,17
2000-01-01,LBN,ISR,6,38
2000-01-01,AFG,TJK,8,30
2000-01-01,WST,TUR,1,9
2000-01-01,NOR,DEU,2,9
2000-01-01,FRA,AFR,1,2
2000-01-01,DEU,SEA,1,19
2000-01-01,JOR,AUS,1,2
2000-01-01,LBY,MOZ,4,13
2000-01-01,USA,MEX,1,6
2000-01-01,ITA,CHE,3,9
2000-01-01,AUS,PRK,1,9
2000-01-01,NOR,RUS,44,224
2000-01-01,ISR,PSE,5,20
2000-01-01,AGO,ZMB,1,1
2000-01-01,PAK,AFG,1,6
2000-01-01,USA,RUS,4,11
2000-01-01,DZA,SDN,2,5
2000-01-01,ISR,USA,4,27
2000-01-01,PAK,IRN,1,6
2000-01-01,DEU,MYS,3,27
2000-01-01,AZE,LVA,1,2
2000-01-01,EGY,PSE,3,16
2000-01-01,UGA,USA,1,3
2000-01-01,IRN,AFG,5,36
2000-01-01,UGA,SDN,2,12
2000-01-01,JOR,ISR,2,20
2000-01-01,GNB,SEN,2,27
2000-01-01,EST,FIN,2,14
2000-01-01,DEU,UZB,1,8
2000-01-01,SWE,NOR,1,1
2000-01-01,ZAF,AFR,17,50
2000-01-01,IND,LKA,1,9
2000-01-01,JOR,PSE,1,2
2000-01-01,MOZ,USA,3,13
2000-01-01,ZAF,MOZ,17,58
2000-01-01,BEL,MOZ,2,9
2000-01-01,BEL,SRB,1,14
2000-01-01,USA,VEN,1,4
2000-01-01,AFG,IRN,1,2
2000-01-01,ERI,DJI,2,9
2000-01-01,CAF,COD,1,3
2000-01-01,ISR,DEU,4,4
2000-01-01,ESP,USA,1,3
2000-01-01,KOR,CHN,1,1
2000-01-01,PHL,USA,14,52
2000-01-01,NAM,AGO,5,9
2000-01-01,GNQ,SLE,1,3
2000-01-01,CRI,PAN,2,7
2000-01-01,RUS,YEM,1,2
2000-01-01,RUS,SWE,2,9
2000-01-01,JPN,TMP,4,8
2000-01-01,SEA,PHL,7,41
2000-01-01,ISR,NOR,1,2
2000-01-01,USA,EUR,4,22
2000-01-01,KEN,GBR,1,6
2000-01-01,MKD,WST,1,9
2000-01-01,SDN,ETH,5,21
2000-01-01,RWA,BDI,2,7
2000-01-01,DEU,USA,2,9
2000-01-01,USA,VNM,3,14
2000-01-01,SGP,THA,1,1
2000-01-01,SLE,USA,1,1
2000-01-01,DNK,SWE,2,5
2000-01-01,TJK,UZB,1,2
2000-01-01,MOZ,PSE,1,3
2000-01-01,ITA,EGY,1,5
2000-01-01,AUS,VNM,2,4
2000-01-01,ESP,COL,1,1
2000-01-01,BHR,USA,1,2
2000-01-01,IDN,IRN,1,8
2000-01-01,KOR,USA,1,3
2000-01-01,DEU,TZA,1,3
2000-01-01,LBY,KEN,1,5
2000-01-01,ISR,EGY,2,6
2000-01-01,AFR,ZMB,1,3
2000-01-01,IND,JPN,1,9
2000-01-01,BRN,SGP,1,2
2000-01-01,SRB,FRA,1,3
2000-01-01,FRA,DEU,2,7
2000-01-01,GBR,AUS,1,2
2000-01-01,KOR,PRK,1,4
2000-01-01,SAU,MOZ,3,9
2000-01-01,GBR,MOZ,10,33
2000-01-01,IRN,PSE,3,8
2000-01-01,USA,KOR,2,6
2000-01-01,SAU,PSE,1,3
2000-01-01,NPL,CHN,1,1
2000-01-01,DOM,USA,3,19
2000-01-01,COL,ISR,1,2
2000-01-01,CHN,SGP,2,5
2000-01-01,CUB,USA,19,48
2000-01-01,GBR,FRA,2,4
2000-01-01,SEN,NER,1,6
2000-01-01,RUS,UKR,4,24
2000-01-01,GBR,CYP,1,1
2000-01-01,AFR,AGO,2,8
2000-01-01,MWI,MOZ,5,16
2000-01-01,KOR,GBR,2,9
2000-01-01,CHN,USA,2,7
2000-01-01,EGY,KWT,1,3
2000-01-01,JOR,KWT,1,3
2000-01-01,GBR,USA,3,11
2000-01-01,ERI,ETH,4,24
2000-01-01,USA,CHN,1,5
2000-01-01,NOR,MOZ,1,6
2000-01-01,RUS,WST,9,42
2000-01-01,ZMB,SOM,1,7
2000-01-01,ZWE,ZMB,1,1
2000-01-01,AFR,EGY,1,3
2000-01-01,CUB,ZWE,1,2
2000-01-01,KGZ,RUS,1,5
2000-01-01,EUR,KHM,2,8
2000-01-01,SGP,KOR,2,18
2000-01-01,AFG,UZB,1,2
2000-01-01,ETH,FRA,1,4
2000-01-01,VEN,ECU,2,9
2000-01-01,DEU,SWE,1,1
2000-01-01,UGA,SOM,3,7
2000-01-01,POL,KOR,1,2
2000-01-01,ITA,SDN,2,5
2000-01-01,USA,DJI,3,13
2000-01-01,SAU,AFG,2,8
2000-01-01,KWT,MOZ,3,17
2000-01-01,BLR,EUR,2,5
2000-01-01,BEL,AFR,3,18
2000-01-01,VEN,CUB,1,4
2000-01-01,JPN,USA,5,14
2000-01-01,PAK,BGD,1,4
2000-01-01,PHL,PRK,1,1
2000-01-01,KHM,VNM,1,2
2000-01-01,RUS,JPN,7,21
2000-01-01,BEL,SDN,1,18
2000-01-01,PHL,IDN,2,4
2000-01-01,TUR,ISR,2,9
2000-01-01,EUR,LBN,1,8
2000-01-01,RUS,AFR,1,6
2000-01-01,RUS,BLR,3,6
2000-01-01,FRA,PSE,1,9
2000-01-01,DNK,FIN,3,5
2000-01-01,GBR,SLE,11,60
2000-01-01,BEL,FRA,1,2
2000-01-01,EUR,PSE,1,9
2000-01-01,GBR,CHE,3,9
2000-01-01,ZMB,AFR,1,3
2000-01-01,SGP,VNM,1,1
2000-01-01,GBR,NOR,27,119
2000-01-01,AFR,USA,2,16
2000-01-01,USA,CUB,9,30
2000-01-01,BLR,AUT,1,9
2000-01-01,KEN,NLD,1,5
2000-01-01,IDN,PHL,2,6
2000-01-01,KWT,ETH,1,5
2000-01-01,SOM,ETH,2,5
2000-01-01,KHM,CUB,1,2
2000-01-01,BEL,EUR,1,4
2000-01-01,MEX,COL,1,2
2000-01-01,SGP,IDN,1,1
2000-01-01,USA,ALB,1,1
2000-01-01,EUR,AUS,2,19
2000-01-01,PRK,CHN,1,9
2000-01-01,PHL,MYS,13,61
2000-01-01,EGY,FRA,1,5
2000-01-01,MYS,THA,6,23
2000-01-01,LUX,DEU,2,7
2000-01-01,BEL,GBR,3,14
2000-01-01,CUB,VEN,2,7
2000-01-01,NZL,CAN,2,18
2000-01-01,TUR,ITA,1,2
2000-01-01,NGA,CIV,1,1
2000-01-01,RUS,KGZ,2,4
2000-01-01,SVK,AUT,1,2
2000-01-01,RUS,MOZ,1,9
2000-01-01,FRA,EUR,1,6
2000-01-01,BEL,SYR,1,8
2000-01-01,GBR,RUS,41,250
2000-01-01,BEL,LBN,1,8
2000-01-01,JPN,SYR,1,2
2000-01-01,CHN,PSE,1,1
2000-01-01,LBY,PSE,5,36
2000-01-01,LBR,GBR,1,6
2000-01-01,FRA,MOZ,2,17
2000-01-01,CHL,BGR,1,9
2000-01-01,MOZ,JPN,2,6
2000-01-01,ISR,CAN,1,21
2000-01-01,IRN,AZE,1,9
2000-01-01,KWT,SDN,2,5
2000-01-01,SDN,JOR,1,12
2000-01-01,ZAF,ZMB,2,5
2000-01-01,DJI,ETH,1,3
2000-01-01,TJK,AFG,4,15
2000-01-01,NLD,IDN,2,2
2000-01-01,ETH,DJI,3,18
2000-01-01,PHL,SEA,14,41
2000-01-01,GBR,DEU,3,20
2000-01-01,ITA,MOZ,1,6
2000-01-01,ESP,CUB,2,4
2000-01-01,RUS,TJK,1,9
2000-01-01,CYP,LBN,1,4
2000-01-01,THA,VNM,2,3
2000-01-01,FRA,GBR,7,44
2000-01-01,IRQ,EGY,1,2
2000-01-01,SLE,GIN,3,13
2000-01-01,USA,ESP,1,2
2000-01-01,BGR,AFR,1,1
2000-01-01,KEN,AFR,1,7
2000-01-01,RUS,USA,12,69
2000-01-01,MAR,LBN,2,18
2000-01-01,USA,GBR,4,12
2000-01-01,ARM,GRC,1,2
2000-01-01,USA,PRK,4,44
2000-01-01,SEN,TCD,2,2
2000-01-01,TZA,MOZ,2,13
2000-01-01,USA,IRN,2,4
2000-01-01,USA,AFR,2,7
2000-01-01,RUS,PRK,3,9
2000-01-01,JPN,PER,2,4
2000-01-01,CUB,VNM,2,18
2000-01-01,DEU,NOR,2,4
2000-01-01,CAN,TMP,2,4
2000-01-01,MEX,USA,1,6
2000-01-01,DNK,TUN,1,2
2000-01-01,USA,FIN,2,7
2000-01-01,USA,SLE,3,10
2000-01-01,DEU,TJK,2,4
2000-01-01,ZMB,COD,5,22
2000-01-01,TGO,FRA,2,2
2000-01-01,GBR,IRL,2,5
2000-01-01,EUR,USA,6,36
2000-01-01,ZWE,TZA,1,2
