year,event_count,num_mentions,actor1,actor2
2000-01-01,0.0007710100231303007,0.0031762837480148226,AE,ET
2000-01-01,0.0007710100231303007,0.0003529204164460914,AE,IT
2000-01-01,0.0007710100231303007,0.0012352214575613199,AE,PS
2000-01-01,0.0015420200462606013,0.0008823010411152286,AE,SD
2000-01-01,0.0015420200462606013,0.0015881418740074113,AF,AU
2000-01-01,0.0015420200462606013,0.0021175224986765486,AF,DE
2000-01-01,0.007710100231303007,0.0037056643726839597,AF,FR
2000-01-01,0.004626060138781804,0.006705487912475737,AF,IR
2000-01-01,0.002313030069390902,0.0012352214575613199,AF,LY
2000-01-01,0.0030840400925212026,0.0028233633315687314,AF,PK
2000-01-01,0.0015420200462606013,0.0014116816657843657,AF,SA
2000-01-01,0.009252120277563608,0.007940709370037057,AF,TJ
2000-01-01,0.0015420200462606013,0.0007058408328921829,AF,US
2000-01-01,0.0007710100231303007,0.0003529204164460914,AF,UZ
2000-01-01,0.002313030069390902,0.0015881418740074113,AL,AU
2000-01-01,0.0007710100231303007,0.0007058408328921829,AL,FR
2000-01-01,0.0007710100231303007,0.0007058408328921829,AL,IT
2000-01-01,0.0007710100231303007,0.0007058408328921829,AL,MK
2000-01-01,0.002313030069390902,0.002999823539791777,AL,RS
2000-01-01,0.0007710100231303007,0.0001764602082230457,AL,US
2000-01-01,0.0015420200462606013,0.0008823010411152286,AM,GR
2000-01-01,0.0007710100231303007,0.0005293806246691371,AO,IL
2000-01-01,0.007710100231303007,0.004058584789130051,AO,NA
2000-01-01,0.010023130300693909,0.004764425622022234,AO,ZM
2000-01-01,0.0007710100231303007,0.0003529204164460914,AR,BO
2000-01-01,0.0007710100231303007,0.0015881418740074113,AT,BY
2000-01-01,0.0007710100231303007,0.0008823010411152286,AT,HU
2000-01-01,0.0007710100231303007,0.0003529204164460914,AT,SK
2000-01-01,0.0007710100231303007,0.0003529204164460914,AU,CN
2000-01-01,0.0030840400925212026,0.0024704429151226398,AU,FR
2000-01-01,0.0007710100231303007,0.0003529204164460914,AU,GB
2000-01-01,0.0007710100231303007,0.0015881418740074113,AU,IQ
2000-01-01,0.0007710100231303007,0.0003529204164460914,AU,JO
2000-01-01,0.0007710100231303007,0.0015881418740074113,AU,KP
2000-01-01,0.0015420200462606013,0.0031762837480148226,AU,NZ
2000-01-01,0.0015420200462606013,0.0007058408328921829,AU,VN
2000-01-01,0.0015420200462606013,0.0003529204164460914,AZ,CN
2000-01-01,0.0007710100231303007,0.0007058408328921829,AZ,GE
2000-01-01,0.0007710100231303007,0.0015881418740074113,AZ,IR
2000-01-01,0.0007710100231303007,0.0003529204164460914,AZ,LV
2000-01-01,0.0007710100231303007,0.0015881418740074113,BD,BG
2000-01-01,0.0007710100231303007,0.0014116816657843657,BD,ID
2000-01-01,0.0015420200462606013,0.0010587612493382743,BD,IR
2000-01-01,0.0007710100231303007,0.0007058408328921829,BD,PK
2000-01-01,0.0030840400925212026,0.0021175224986765486,BD,US
2000-01-01,0.0007710100231303007,0.0003529204164460914,BE,FR
2000-01-01,0.002313030069390902,0.0024704429151226398,BE,GB
2000-01-01,0.0007710100231303007,0.0014116816657843657,BE,JO
2000-01-01,0.0007710100231303007,0.0014116816657843657,BE,LB
2000-01-01,0.0015420200462606013,0.0015881418740074113,BE,MZ
2000-01-01,0.0007710100231303007,0.0015881418740074113,BE,PS
2000-01-01,0.0007710100231303007,0.0024704429151226398,BE,RS
2000-01-01,0.0007710100231303007,0.0031762837480148226,BE,SD
2000-01-01,0.0007710100231303007,0.0005293806246691371,BE,SL
2000-01-01,0.0007710100231303007,0.0005293806246691371,BE,SO
2000-01-01,0.0007710100231303007,0.0014116816657843657,BE,SY
2000-01-01,0.0007710100231303007,0.0007058408328921829,BG,CH
2000-01-01,0.0007710100231303007,0.0015881418740074113,BG,CL
2000-01-01,0.0007710100231303007,0.0008823010411152286,BG,ZA
2000-01-01,0.0007710100231303007,0.0003529204164460914,BH,US
2000-01-01,0.0015420200462606013,0.0012352214575613199,BI,RW
2000-01-01,0.0038550501156515036,0.002293982706899594,BI,TZ
2000-01-01,0.0007710100231303007,0.0003529204164460914,BM,GR
2000-01-01,0.0007710100231303007,0.0007058408328921829,BM,PA
2000-01-01,0.0007710100231303007,0.0001764602082230457,BN,JP
2000-01-01,0.0007710100231303007,0.0003529204164460914,BN,SG
2000-01-01,0.002313030069390902,0.0015881418740074113,BS,HT
2000-01-01,0.0007710100231303007,0.0007058408328921829,BY,DK
2000-01-01,0.002313030069390902,0.0010587612493382743,BY,RU
2000-01-01,0.0007710100231303007,0.0010587612493382743,CA,ET
2000-01-01,0.0007710100231303007,0.0037056643726839597,CA,IL
2000-01-01,0.0015420200462606013,0.0014116816657843657,CA,KH
2000-01-01,0.0015420200462606013,0.0031762837480148226,CA,NZ
2000-01-01,0.0007710100231303007,0.0024704429151226398,CA,PS
2000-01-01,0.0015420200462606013,0.002293982706899594,CA,RU
2000-01-01,0.0007710100231303007,0.0007058408328921829,CA,TZ
2000-01-01,0.0007710100231303007,0.0007058408328921829,CA,US
2000-01-01,0.0007710100231303007,0.0005293806246691371,CD,CF
2000-01-01,0.0038550501156515036,0.0038821245809070055,CD,RW
2000-01-01,0.0007710100231303007,0.0001764602082230457,CD,ZA
2000-01-01,0.0038550501156515036,0.0038821245809070055,CD,ZM
2000-01-01,0.0015420200462606013,0.0010587612493382743,CG,DZ
2000-01-01,0.002313030069390902,0.0015881418740074113,CH,FR
2000-01-01,0.002313030069390902,0.0015881418740074113,CH,GB
