year,action_country_code,event_count,total_num_mentions
2000-01-01,RW,3483,18511
2000-01-01,SA,2808,14706
2000-01-01,SC,2,4
2000-01-01,SE,106,447
2000-01-01,SF,6941,26966
2000-01-01,SG,776,3937
2000-01-01,SI,202,936
2000-01-01,SL,4325,26542
2000-01-01,SM,4,18
2000-01-01,SN,438,2510
2000-01-01,SO,1751,8336
2000-01-01,SP,6011,30455
2000-01-01,ST,6,14
2000-01-01,SU,2790,14707
2000-01-01,SW,997,4131
2000-01-01,SY,2170,8986
2000-01-01,SZ,1299,6530
2000-01-01,TD,111,422
2000-01-01,TH,3212,17157
2000-01-01,TI,2114,10987
2000-01-01,TN,17,65
2000-01-01,TO,306,1266
2000-01-01,TP,2,21
2000-01-01,TS,397,1773
2000-01-01,TT,1713,7969
2000-01-01,TU,8803,46496
2000-01-01,TV,16,101
2000-01-01,TW,1710,10030
2000-01-01,TX,100,446
2000-01-01,TZ,1870,9321
2000-01-01,UG,6374,30873
2000-01-01,UK,11358,53882
2000-01-01,UP,1634,8694
2000-01-01,US,31230,142901
2000-01-01,UV,345,1873
2000-01-01,UY,68,326
2000-01-01,UZ,1422,7585
2000-01-01,VC,4,31
2000-01-01,VE,801,3912
2000-01-01,VI,13,72
2000-01-01,VM,1622,7715
2000-01-01,VQ,6,30
2000-01-01,VT,21,58
2000-01-01,WA,2496,10316
2000-01-01,WE,6460,29140
2000-01-01,WI,27,127
2000-01-01,WQ,2,10
2000-01-01,WS,212,933
2000-01-01,WZ,511,2330
2000-01-01,YI,897,4220
2000-01-01,YM,1659,9503
2000-01-01,ZA,2134,9327
2000-01-01,ZI,4196,24407
2001-01-01,AA,27,61
2001-01-01,AC,10,40
2001-01-01,AE,752,2761
2001-01-01,AF,24887,124710
2001-01-01,AG,3908,18598
2001-01-01,AJ,2615,13835
2001-01-01,AL,10170,48929
2001-01-01,AM,1223,5981
2001-01-01,AN,1,2
2001-01-01,AO,3793,15540
2001-01-01,AQ,6,22
2001-01-01,AR,1477,6055
2001-01-01,AS,3144,14044
2001-01-01,AU,855,3790
2001-01-01,AY,16,53
2001-01-01,BA,228,1092
2001-01-01,BB,54,254
2001-01-01,BC,375,1692
2001-01-01,BD,118,461
2001-01-01,BE,2121,9638
2001-01-01,BF,84,322
2001-01-01,BG,3568,18266
2001-01-01,BH,58,224
2001-01-01,BK,2894,14334
2001-01-01,BL,357,1610
2001-01-01,BM,1673,7740
2001-01-01,BN,207,1389
2001-01-01,BO,1150,6005
2001-01-01,BP,103,629
2001-01-01,BR,1608,6966
2001-01-01,BT,124,588
2001-01-01,BU,929,4156
2001-01-01,BX,103,447
2001-01-01,BY,3270,17936
2001-01-01,CA,2965,12942
2001-01-01,CB,1322,6463
2001-01-01,CD,322,1903
2001-01-01,CE,4948,29345
2001-01-01,CF,281,1296
2001-01-01,CG,2254,10154
2001-01-01,CH,11761,61429
2001-01-01,CI,902,4190
2001-01-01,CJ,11,55
2001-01-01,CM,415,1863
2001-01-01,CN,244,1111
2001-01-01,CO,7484,33606
2001-01-01,CQ,1038,5006
2001-01-01,CS,84,344
2001-01-01,CT,736,3978
2001-01-01,CU,1871,7770
2001-01-01,CV,25,96
2001-01-01,CW,11,80
2001-01-01,CY,661,2593
2001-01-01,DA,699,3213
2001-01-01,DJ,132,591
2001-01-01,DO,24,129
2001-01-01,DR,168,677
2001-01-01,EC,587,2881
2001-01-01,EG,4706,19430
2001-01-01,EI,1686,8400
2001-01-01,EK,47,187
2001-01-01,EN,363,2302
2001-01-01,ER,489,2408
2001-01-01,ES,265,1091
2001-01-01,ET,1840,9473
2001-01-01,EZ,1818,9697
2001-01-01,FG,4,13
2001-01-01,FI,220,1046
2001-01-01,FJ,384,2189
2001-01-01,FM,201,833
